#,District,State,Population,Growth,Sex-Ratio,Literacy,DISTRICT
425,Golaghat,Assam,"1,066,888",12.75%,964,77.43,GOLAGHAT
426,Shahdol,Madhya Pradesh,"1,066,063",17.39%,974,66.67,SHAHDOL
427,Saraikela Kharsawan,Jharkhand,"1,065,056",25.47%,956,67.7,SARAIKELA KHARSAWAN
428,Gadag,Karnataka,"1,064,570",9.54%,982,75.12,GADAG
429,Karur,Tamil Nadu,"1,064,493",13.77%,1015,75.6,KARUR
430,Rohtak,Haryana,"1,061,204",12.88%,867,80.22,ROHTAK
431,Chandigarh,Chandigarh,"1,055,450",17.19%,818,86.05,CHANDIGARH
432,Mandla,Madhya Pradesh,"1,054,905",17.97%,1008,66.87,MANDLA
433,Chatra,Jharkhand,"1,042,886",31.77%,953,60.18,CHATRA
434,Palwal,Haryana,"1,042,708",25.76%,880,69.32,PALWAL
435,Lakhimpur,Assam,"1,042,137",17.22%,968,77.2,LAKHIMPUR
436,Sambalpur,Orissa,"1,041,099",11.27%,976,76.22,SAMBALPUR
437,Sirohi,Rajasthan,"1,036,346",21.76%,940,55.25,SIROHI
438,Mahasamund,Chhattisgarh,"1,032,754",20.05%,1017,71.02,MAHASAMUND
439,Gumla,Jharkhand,"1,025,213",23.16%,993,65.73,GUMLA
440,Jhabua,Madhya Pradesh,"1,025,048",30.70%,990,43.3,JHABUA
441,Chamarajanagar,Karnataka,"1,020,791",5.73%,993,61.43,CHAMARAJANAGAR
442,Panna,Madhya Pradesh,"1,016,520",18.67%,905,64.79,PANNA
443,Goalpara,Assam,"1,008,183",22.64%,964,67.37,GOALPARA
444,Baramula,Jammu and Kashmir,"1,008,039",19.45%,885,64.63,BARAMULA
445,Lakhisarai,Bihar,"1,000,912",24.77%,902,62.42,LAKHISARAI
446,Mandi,Himachal Pradesh,"999,777",10.92%,1007,81.53,MANDI
447,Moga,Punjab,"995,746",11.28%,893,70.68,MOGA
448,Mohali,Punjab,"994,628",33.15%,879,83.8,MOHALI
449,Chitrakoot,Uttar Pradesh,"991,730",29.43%,879,65.05,CHITRAKOOT
450,Bangalore Rural,Karnataka,"990,923",16.45%,946,77.93,BANGALORE RURAL
451,Rayagada,Orissa,"967,911",16.46%,1051,49.76,RAYAGADA
452,Kurukshetra,Haryana,"964,655",16.86%,888,76.31,KURUKSHETRA
453,Nayagarh,Orissa,"962,789",11.37%,915,80.42,NAYAGARH
454,Jhajjar,Haryana,"958,405",8.90%,862,80.65,JHAJJAR
455,Morigaon,Assam,"957,423",23.34%,967,68.03,MORIGAON
456,Karbi Anglong,Assam,"956,313",17.58%,951,69.25,KARBI ANGLONG
457,Nainital,Uttarakhand,"954,605",25.13%,934,83.88,NAINITAL
458,Puducherry,Puducherry,"950,289",29.23%,1029,85.44,PUDUCHERRY
459,Baksa,Assam,"950,075",10.74%,974,69.25,BAKSA
460,Ramgarh,Jharkhand,"949,443",13.10%,921,73.17,RAMGARH
461,Fatehabad,Haryana,"942,011",16.85%,902,67.92,FATEHABAD
462,Darrang,Assam,"928,500",22.19%,954,63.08,DARRANG
463,Mahendragarh,Haryana,"922,088",13.48%,895,77.72,MAHENDRAGARH
464,Muktsar,Punjab,"901,896",16.00%,896,65.81,MUKTSAR
465,Pakur,Jharkhand,"900,422",28.33%,989,48.82,PAKUR
466,Rewari,Haryana,"900,332",17.64%,898,80.99,REWARI
467,North Delhi,Delhi,"887,978",13.62%,869,86.85,NORTH DELHI
468,Kokrajhar,Assam,"887,142",5.21%,959,65.22,KOKRAJHAR
469,South Tripura,Tripura,"876,001",14.15%,957,84.66,SOUTH TRIPURA
470,Mahoba,Uttar Pradesh,"875,958",23.64%,878,65.27,MAHOBA
471,Kupwara,Jammu and Kashmir,"870,354",33.82%,835,64.51,KUPWARA
472,Pratapgarh,Rajasthan,"867,848",22.78%,983,55.97,PRATAPGARH
473,Jashpur,Chhattisgarh,"851,669",14.60%,1005,67.92,JASHPUR
474,Sindhudurg,Maharashtra,"849,651",-2.21%,1036,85.56,SINDHUDURG
475,Ashoknagar,Madhya Pradesh,"845,071",22.66%,904,66.42,ASHOKNAGAR
476,Udalguri,Assam,"831,668",9.61%,973,65.41,UDALGURI
477,Neemuch,Madhya Pradesh,"826,067",13.77%,954,70.8,NEEMUCH
478,East Khasi Hills,Meghalaya,"825,922",24.96%,1011,84.15,EAST KHASI HILLS
479,Kabirdham,Chhattisgarh,"822,526",40.71%,996,60.85,KABIRDHAM
480,North Goa,Goa,"818,008",7.84%,963,89.57,NORTH GOA
481,Wayanad,Kerala,"817,420",4.71%,1035,89.03,WAYANAD
482,Kapurthala,Punjab,"815,168",8.04%,912,79.07,KAPURTHALA
483,Shimla,Himachal Pradesh,"814,010",12.67%,915,83.64,SHIMLA
484,Tapi,Gujarat,"807,022",12.14%,1007,68.26,TAPI
485,Dhamtari,Chhattisgarh,"799,781",13.19%,1010,78.36,DHAMTARI
486,Jamtara,Jharkhand,"791,042",21.12%,954,64.59,JAMTARA
487,Datia,Madhya Pradesh,"786,754",18.46%,873,72.63,DATIA
488,Nalbari,Assam,"771,639",11.99%,949,78.63,NALBARI
489,Mansa,Punjab,"769,751",11.76%,883,61.83,MANSA
490,Burhanpur,Madhya Pradesh,"757,847",19.37%,951,64.36,BURHANPUR
491,Ariyalur,Tamil Nadu,"754,894",8.54%,1015,71.34,ARIYALUR
492,Badgam,Jammu and Kashmir,"753,745",24.14%,894,56.08,BADGAM
493,Anuppur,Madhya Pradesh,"749,237",12.30%,976,67.88,ANUPPUR
494,Kanker,Chhattisgarh,"748,941",15.06%,1006,70.29,KANKER
495,Bongaigaon,Assam,"738,804",20.59%,966,69.74,BONGAIGAON
496,The Nilgiris,Tamil Nadu,"735,394",-3.51%,1042,85.2,THE NILGIRIS
497,Kandhamal,Orissa,"733,110",13.10%,1037,64.13,KANDHAMAL
498,Alirajpur,Madhya Pradesh,"728,999",19.45%,1011,36.1,ALIRAJPUR
499,Latehar,Jharkhand,"726,978",29.61%,967,59.51,LATEHAR
500,Kodarma,Jharkhand,"716,259",43.42%,950,66.84,KODARMA
501,Dindori,Madhya Pradesh,"704,524",21.32%,1002,63.9,DINDORI
502,Arwal,Bihar,"700,843",18.89%,928,67.43,ARWAL
503,North Tripura,Tripura,"693,947",17.44%,967,87.5,NORTH TRIPURA
504,Sheopur,Madhya Pradesh,"687,861",22.94%,901,57.43,SHEOPUR
505,Pauri Garhwal,Uttarakhand,"687,271",-1.41%,1103,82.02,PAURI GARHWAL
506,Dhemaji,Assam,"686,133",19.97%,953,72.7,DHEMAJI
507,Rupnagar,Punjab,"684,627",8.87%,915,82.19,RUPNAGAR
508,Jaisalmer,Rajasthan,"669,919",31.81%,852,57.22,JAISALMER
509,Hailakandi,Assam,"659,296",21.45%,951,74.33,HAILAKANDI
510,Korea,Chhattisgarh,"658,917",12.38%,968,70.64,KOREA
511,Sheohar,Bihar,"656,246",27.19%,893,53.78,SHEOHAR
512,Umaria,Madhya Pradesh,"644,758",24.96%,950,65.89,UMARIA
513,West Garo Hills,Meghalaya,"643,291",24.09%,984,67.58,WEST GARO HILLS
514,Rajouri,Jammu and Kashmir,"642,415",32.93%,860,68.17,RAJOURI
515,South Goa,Goa,"640,537",8.73%,986,87.59,SOUTH GOA
516,Sheikhpura,Bihar,"636,342",21.09%,930,63.86,SHEIKHPURA
517,Almora,Uttarakhand,"622,506",-1.28%,1139,80.47,ALMORA
518,Tehri Garhwal,Uttarakhand,"618,931",2.35%,1077,76.36,TEHRI GARHWAL
519,Faridkot,Punjab,"617,508",12.09%,890,69.55,FARIDKOT
520,Kathua,Jammu and Kashmir,"616,435",20.53%,890,73.09,KATHUA
521,Malkangiri,Orissa,"613,192",21.62%,1020,48.54,MALKANGIRI
522,Shahid Bhagat Singh Nagar,Punjab,"612,310",4.23%,954,79.78,SHAHID BHAGAT SINGH NAGAR
523,Nuapada,Orissa,"610,382",15.02%,1021,57.35,NUAPADA
524,Subarnapur,Orissa,"610,183",12.61%,960,74.42,SUBARNAPUR
525,Fatehgarh Sahib,Punjab,"600,163",11.46%,871,79.35,FATEHGARH SAHIB
526,Simdega,Jharkhand,"599,578",16.58%,997,67.99,SIMDEGA
527,Barnala,Punjab,"595,527",13.02%,876,67.82,BARNALA
528,Narmada,Gujarat,"590,297",14.75%,961,72.31,NARMADA
529,Porbandar,Gujarat,"585,449",9.06%,950,75.78,PORBANDAR
530,Central Delhi,Delhi,"582,320",-9.91%,892,85.14,CENTRAL DELHI
531,Solan,Himachal Pradesh,"580,320",15.93%,880,83.68,SOLAN
532,Jharsuguda,Orissa,"579,505",13.69%,953,78.86,JHARSUGUDA
533,Gajapati,Orissa,"577,817",11.37%,1043,53.49,GAJAPATI
534,Harda,Madhya Pradesh,"570,465",20.25%,935,72.5,HARDA
535,Perambalur,Tamil Nadu,"565,223",14.50%,1003,74.32,PERAMBALUR
536,Panchkula,Haryana,"561,293",19.83%,873,81.88,PANCHKULA
537,Pulwama,Jammu and Kashmir,"560,440",27.00%,912,63.48,PULWAMA
538,Udhampur,Jammu and Kashmir,"554,985",20.78%,870,68.49,UDHAMPUR
539,Kodagu,Karnataka,"554,519",1.09%,1019,82.61,KODAGU
540,Dantewada,Chhattisgarh,"533,638",12.08%,1020,42.12,DANTEWADA
541,Khunti,Jharkhand,"531,885",22.32%,997,63.86,KHUNTI
542,Sirmaur,Himachal Pradesh,"529,855",15.54%,918,78.8,SIRMAUR
543,Una,Himachal Pradesh,"521,173",16.26%,976,86.53,UNA
544,Chamba,Himachal Pradesh,"519,080",12.63%,986,72.17,CHAMBA
545,Imphal West,Manipur,"517,992",16.56%,1031,86.08,IMPHAL WEST
546,Pithoragarh,Uttarakhand,"483,439",4.58%,1020,82.25,PITHORAGARH
547,Chirang,Assam,"482,162",11.34%,969,63.55,CHIRANG
548,Senapati,Manipur,"479,148",68.94%,937,63.6,SENAPATI
549,Punch,Jammu and Kashmir,"476,835",27.97%,893,66.74,PUNCH
550,Lohardaga,Jharkhand,"461,790",26.68%,985,67.61,LOHARDAGA
551,Imphal East,Manipur,"456,113",15.51%,1017,81.95,IMPHAL EAST
552,Hamirpur,Himachal Pradesh,"454,768",10.19%,1095,88.15,HAMIRPUR
553,Baudh,Orissa,"441,162",18.16%,991,71.61,BAUDH
554,Kullu,Himachal Pradesh,"437,903",14.76%,942,79.4,KULLU
555,Kulgam,Jammu and Kashmir,"424,483",7.73%,951,59.23,KULGAM
556,Thoubal,Manipur,"422,168",15.94%,1002,74.47,THOUBAL
557,Doda,Jammu and Kashmir,"409,936",28.00%,919,64.68,DODA
558,Aizawl,Mizoram,"400,309",22.92%,1009,97.89,AIZAWL
559,Jaintia Hills,Meghalaya,"395,124",32.10%,1013,61.64,JAINTIA HILLS
560,Bandipora,Jammu and Kashmir,"392,232",28.65%,889,56.28,BANDIPORA
561,Chamoli,Uttarakhand,"391,605",5.74%,1019,82.65,CHAMOLI
562,West Khasi Hills,Meghalaya,"383,461",29.53%,980,77.87,WEST KHASI HILLS
563,Bilaspur,Himachal Pradesh,"381,956",12.05%,981,84.59,BILASPUR
564,Dimapur,Nagaland,"378,811",127.29%,919,84.79,DIMAPUR
565,Dhalai,Tripura,"378,230",22.85%,944,85.72,DHALAI
566,Dadra and Nagar Haveli,Dadra and Nagar Haveli,"343,709",55.88%,774,76.24,DADRA AND NAGAR HAVELI
567,Uttarkashi,Uttarakhand,"330,086",11.89%,958,75.81,UTTARKASHI
568,Samba,Jammu and Kashmir,"318,898",17.01%,886,81.41,SAMBA
569,East Garo Hills,Meghalaya,"317,917",26.87%,972,73.95,EAST GARO HILLS
570,Reasi,Jammu and Kashmir,"314,667",27.04%,890,58.15,REASI
571,Debagarh,Orissa,"312,520",14.01%,975,72.57,DEBAGARH
572,Ganderbal,Jammu and Kashmir,"297,446",36.50%,874,58.04,GANDERBAL
573,Ramban,Jammu and Kashmir,"283,713",31.99%,902,54.27,RAMBAN
574,East Sikkim,Sikkim,"283,583",15.73%,873,83.85,EAST SIKKIM
575,Churachandpur,Manipur,"274,143",20.29%,975,82.78,CHURACHANDPUR
576,Kohima,Nagaland,"267,988",131.81%,928,85.23,KOHIMA
577,Shupiyan,Jammu and Kashmir,"266,215",25.97%,951,60.76,SHUPIYAN
578,Bageshwar,Uttarakhand,"259,898",4.18%,1090,80.01,BAGESHWAR
579,Champawat,Uttarakhand,"259,648",15.63%,980,79.83,CHAMPAWAT
580,Ri Bhoi,Meghalaya,"258,840",34.26%,953,75.67,RI BHOI
581,Bijapur,Chhattisgarh,"255,230",8.78%,984,40.86,BIJAPUR
582,Mon,Nagaland,"250,260",80.36%,899,56.99,MON
583,Rudraprayag,Uttarakhand,"242,285",6.53%,1114,81.3,RUDRAPRAYAG
584,South Andaman,Andaman And Nicobar Islands,"238,142",14.23%,871,89.13,SOUTH ANDAMAN
585,Bishnupur,Manipur,"237,399",13.93%,999,75.85,BISHNUPUR
586,Kishtwar,Jammu and Kashmir,"230,696",20.88%,920,56.2,KISHTWAR
587,The Dangs,Gujarat,"228,291",22.26%,1006,75.16,THE DANGS
588,Dima Hasao,Assam,"214,102",13.84%,932,77.54,DIMA HASAO
589,Karaikal,Puducherry,"200,222",17.23%,1047,87.05,KARAIKAL
590,Tuensang,Nagaland,"196,596",94.83%,929,73.08,TUENSANG
591,Mokokchung,Nagaland,"194,622",60.94%,925,91.62,MOKOKCHUNG
592,Daman,Daman and Diu,"191,173",67.71%,534,88.07,DAMAN
593,Ukhrul,Manipur,"183,998",30.70%,943,81.35,UKHRUL
594,Papumpare,Arunachal Pradesh,"176,573",44.73%,980,79.95,PAPUMPARE
595,Wokha,Nagaland,"166,343",98.81%,968,87.69,WOKHA
596,Phek,Nagaland,"163,418",111.84%,951,78.05,PHEK
597,Lunglei,Mizoram,"161,428",17.64%,947,88.86,LUNGLEI
598,Changlang,Arunachal Pradesh,"148,226",18.18%,926,59.8,CHANGLANG
599,South Sikkim,Sikkim,"146,850",11.65%,915,81.42,SOUTH SIKKIM
600,Lohit,Arunachal Pradesh,"145,726",16.59%,912,68.18,LOHIT
601,Chandel,Manipur,"144,182",21.85%,933,71.11,CHANDEL
602,South Garo Hills,Meghalaya,"142,334",40.95%,945,71.72,SOUTH GARO HILLS
603,New Delhi,Delhi,"142,004",-20.72%,822,88.34,NEW DELHI
604,Kargil,Jammu and Kashmir,"140,802",18.02%,810,71.34,KARGIL
605,Zunheboto,Nagaland,"140,757",78.05%,976,85.26,ZUNHEBOTO
606,Tamenglong,Manipur,"140,651",26.15%,943,70.05,TAMENGLONG
607,Narayanpur,Chhattisgarh,"139,820",19.16%,994,48.62,NARAYANPUR
608,West Sikkim,Sikkim,"136,435",10.69%,942,77.39,WEST SIKKIM
609,Leh,Jammu and Kashmir,"133,487",13.87%,690,77.2,LEH
610,Champhai,Mizoram,"125,745",16.01%,984,95.91,CHAMPHAI
611,Lawngtlai,Mizoram,"117,894",60.14%,945,65.88,LAWNGTLAI
612,West Siang,Arunachal Pradesh,"112,274",8.04%,930,66.46,WEST SIANG
613,Tirap,Arunachal Pradesh,"111,975",11.61%,944,52.19,TIRAP
614,North And Middle Andaman,Andaman And Nicobar Islands,"105,597",-0.02%,925,83.91,NORTH AND MIDDLE ANDAMAN
615,East Siang,Arunachal Pradesh,"99,214",13.52%,980,72.54,EAST SIANG
616,Peren,Nagaland,"95,219",104.15%,915,77.95,PEREN
617,Kurung Kumey,Arunachal Pradesh,"92,076",116.56%,1032,48.75,KURUNG KUMEY
618,Mamit,Mizoram,"86,364",37.56%,927,84.93,MAMIT
619,Kinnaur,Himachal Pradesh,"84,121",7.39%,819,80,KINNAUR
620,Kolasib,Mizoram,"83,955",27.28%,956,93.5,KOLASIB
621,West Kameng,Arunachal Pradesh,"83,947",12.53%,819,67.07,WEST KAMENG
622,Upper Subansiri,Arunachal Pradesh,"83,448",50.78%,998,63.8,UPPER SUBANSIRI
623,Lower Subansiri,Arunachal Pradesh,"83,030",49.00%,984,74.35,LOWER SUBANSIRI
624,East Kameng,Arunachal Pradesh,"78,690",37.62%,1029,60.02,EAST KAMENG
625,Kiphire,Nagaland,"74,004",38.58%,956,69.54,KIPHIRE
626,Serchhip,Mizoram,"64,937",20.56%,977,97.91,SERCHHIP
627,Lakshadweep,Lakshadweep,"64,473",6.30%,946,91.85,LAKSHADWEEP
628,Saiha,Mizoram,"56,574",-7.34%,979,90.01,SAIHA
629,Yanam,Puducherry,"55,626",77.19%,1038,79.47,YANAM
630,Lower Dibang Valley,Arunachal Pradesh,"54,080",7.20%,928,69.13,LOWER DIBANG VALLEY
631,Diu,Daman and Diu,"52,074",17.77%,1031,83.46,DIU
632,Longleng,Nagaland,"50,484",-21.57%,905,72.17,LONGLENG
633,Tawang,Arunachal Pradesh,"49,977",28.40%,714,59,TAWANG
634,North Sikkim,Sikkim,"43,709",6.53%,767,78.01,NORTH SIKKIM
635,Mahe,Puducherry,"41,816",13.54%,1184,97.87,MAHE
636,Nicobars,Andaman And Nicobar Islands,"36,842",-12.42%,777,78.06,NICOBARS
637,Upper Siang,Arunachal Pradesh,"35,320",5.87%,889,59.99,UPPER SIANG
638,Lahul and Spiti,Himachal Pradesh,"31,564",-5.00%,903,76.81,LAHUL AND SPITI
639,Anjaw,Arunachal Pradesh,"21,167",14.19%,839,56.46,ANJAW
640,Dibang Valley,Arunachal Pradesh,"8,004",10.07%,813,64.1,DIBANG VALLEY
